gage_ID,p/pet,swe/P,years_data,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,swe_mm_wy,swe_mm_jja,swe_mm_son,swe_mm_djf,swe_mm_mam,srad_wm2_wy,srad_wm2_jja,srad_wm2_son,srad_wm2_djf,srad_wm2_mam,pdsi_wy,pdsi_jja,pdsi_son,pdsi_djf,pdsi_mam,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,annualfractionflow,jjafractionflow,sonfractionflow,djffractionflow,mamfractionflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,US_L3NAME,NA_L2NAME,NA_L1NAME,knoben_aridity,knoben_seasonality,knoben_snowfrac,HLR,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,TOPWET,depth_bedrock_m,porosity,storage_m,log_k,log_q0,p_value,k
1097300,1.144237679,0.080373771,39,1184.051282,298.1025641,308.7435897,267.6923077,304.974359,1034.794872,433.8717949,205.3589744,102.6153846,290.5641026,15.46605534,27.35869565,16.71916217,2.890034125,14.58963211,3.231571628,14.45105909,4.190851729,-7.983310166,1.974693423,36.38461538,184.3589744,323.974359,95.16666667,0,6.648648649,88.5,75.91666667,168.8365832,249.5663322,135.1113359,87.86915876,200.2678372,0,0,0,0,0,91.76923077,90.07692308,90.17948718,92,0.230769231,0.102564103,0,0,92,90.17948718,90.17948718,92,364.3589744,364.025641,0.333333333,0.000915417,0.002508361,0.001152406,0,0,0.999084583,0.997491639,0.998847594,1,1,197.5512821,14.52351961,169.7692308,0.617179487,0.045373628,287.2307692,301,324.9230769,57,68.66666667,15,16.5,,,,,536.5196822,62.05128205,165.6410256,259.2564103,1.128205128,357.2521368,363.4358974,355.7692308,356.0128205,0.128205128,2.6,4,1,3,2.012838282,0.43852901,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.39227,0.489734,0.228001,7,"NASHOBA BROOK NEAR ACTON, MA",42.51259289,-71.40422829,30.9,MA,Non-ref,27,sedimentary,sedimentary,"Till, or ground moraine",54.1,0.2,0,0,31.67,44.9,7.08,0.77,0,11.04,70.17964,2.91386,0.11,7.83,4.7,35.38,59.92,12.72392,10.98178434,0.01,0.109817841,0.897777684,-1.921819944,0,7.902739822
1101000,1.181402174,0.07446021,39,1218.025641,284.5641026,318.4615385,282.6153846,328.1025641,1031,433.5128205,201.7179487,107.4358974,286.025641,15.32494128,26.93043478,16.56148765,3.278877618,14.24018952,3.90968336,14.85504459,5.120665715,-7.0154848,2.404292085,37.20512821,180.8205128,322.7948718,90.69444444,0,5.351351351,82.72222222,69.38888889,175.2736538,262.5928094,138.6768843,87.88242071,209.2221293,0,0,0,0,0,91.94871795,89.94871795,90.25641026,92,0.051282051,0.282051282,0,0,92,90.23076923,90.25641026,92,364.4871795,364.1538462,0.333333333,0.000912858,0.000557414,0.003099465,0,0,0.999087142,0.999442586,0.996900535,1,1,289.9179487,12.80847699,169.4358974,0.708717949,0.031310919,236.3333333,335,346.6923077,91,91.5,1,12.72727273,,,,,634.2453465,69.74358974,169.0512821,250.4871795,1.051282051,358.8888889,364.4358974,356.1025641,356.1282051,0.076923077,4.333333333,7,2,4,1.592216682,0.580756495,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.39227,0.489734,0.228001,7,"PARKER RIVER AT BYFIELD, MA",42.75286948,-70.9456096,55.5,MA,Non-ref,26,sedimentary,sedimentary,"Till, or ground moraine",51.3,0,0,0,17.87,53.48,7.28,1.82,0,4.69,35.30418,3.117721,0.13,5.56,5.16,40.51,54.33,12.07921,9.920814708,0.01,0.099208145,0.95293053,-1.78445906,0,8.972852523
1109070,1.17659249,0.048444184,38,1255.052632,295.8421053,315.3947368,299.1315789,334.7894737,1066.684211,437.2105263,213.9473684,118.3421053,294.6578947,15.78415706,26.95540618,17.05096806,4.261486087,14.5860984,4.962343581,15.6784611,6.046795267,-5.571045241,3.418478261,37.89473684,180.8947368,324.7368421,60.8,0,3.111111111,55.4,42.31428571,170.9893642,251.492849,138.2563549,90.25444059,201.5165904,0,0,0,0,0,85.76315789,82.23684211,90.23684211,92,6.236842105,7.947368421,0,0,92,90.18421053,90.23684211,92,364.4210526,350.2368421,14.18421053,0.038844343,0.067791762,0.087449393,0,0,0.961155657,0.932208238,0.912550607,1,1,309.1421053,27.44443457,166.1315789,0.107894737,0.009578475,258,206.8888889,232.8410323,63.54545455,75.69847799,6,20.7979798,,,,,712.287576,64.86842105,157.0263158,252.4736842,1.394736842,294.3092105,343.9210526,250.6842105,290.1184211,0.684210526,24.21296296,27.94444444,21.44444444,23.25,1.303723278,0.869822294,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.418707,0.498298,0.079999,2,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.840379,-71.142824,27.2,MA,Non-ref,24,sedimentary,sedimentary,"Till, or ground moraine",51.8,0.46,0,0,14.73,60.85,5.91,0.12,0,4.31,34.20231,1.560778,0.15,2.29,6.38,47.51,46.11,12.39801,9.450515464,0.208206897,1.967662501,0.856177156,-1.875239067,0,7.180871508
1110000,1.186692329,0.068341548,39,1217.333333,309.6923077,319.3589744,275,307.7692308,1025.820513,424.1282051,206.6410256,103.8205128,288.9487179,14.80727325,26.42622631,16.08876941,2.485090636,13.9324136,3.37729918,14.59431438,4.484016278,-7.94101844,2.080602007,35.79487179,184.974359,324.1794872,83.19444444,0,6.486486486,74.30555556,68.38888889,169.3605104,248.3731884,136.3434401,88.97913966,201.2681159,0,0,0,0,0,92,90.1025641,90.25641026,92,0,0.128205128,0,0,92,90.23076923,90.25641026,92,364.4871795,364.3589744,0.128205128,0.000351247,0,0.001408848,0,0,0.999648753,1,0.998591152,1,1,265.0461538,9.742794311,178.4871795,1.373076923,0.050472742,258,349,351,,,13,15,,,,,562.4304084,57.94871795,170.2820513,274.6153846,1.025641026,360.5,364.7948718,356.2051282,360.5,0.025641026,5,5,5,5,1.312358846,,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.364093,0.437678,0.22441,16,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.230372,-71.7109023,66.1,MA,Non-ref,27.9,sedimentary,sedimentary,"Till, or ground moraine",121.1,0,2,24,60.29,26.71,1.3,4.72,0,26.99,148.3863,4.575836,0.13,5.44,5.36,41.58,53.06,12.33035,12.50708256,0.012502369,0.156368166,0.87877683,-1.902585272,0,7.56444083
1174500,1.281357493,0.083535902,39,1213.051282,336.5128205,312.2307692,258.7692308,299.8205128,946.6923077,401.025641,181.6666667,90.30769231,271.4871795,13.95683024,25.78848941,15.03564384,1.35804452,13.32929208,1.990797158,13.05242475,3.110572362,-9.222350271,0.734085842,37.28205128,192.4358974,327.8461538,101.3333333,0,6.945945946,89.58333333,89.11111111,168.9616982,247.7826087,135.1072295,87.57060831,202.8447603,0,0,0,0,0,90.1025641,86.79487179,90.25641026,92,1.897435897,3.435897436,0,0,92,90.23076923,90.25641026,92,364.4871795,359.1538462,5.333333333,0.014601699,0.020624303,0.037757115,0,0,0.985398301,0.979375697,0.962242885,1,1,706.7692308,15.21942308,166.025641,4.094358974,0.088167083,286.5897436,215.1111111,229.1599327,67,76.1875,5.166666667,15.83333333,,,,,623.9789204,58.43589744,169.1025641,272,1.153846154,340.3653846,358.025641,326.1025641,338.6666667,0.307692308,20.36111111,22.22222222,19.55555556,19.83333333,1.409303379,1.383359056,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.372149,0.43474,0.217153,16,"EAST BRANCH SWIFT RIVER NEAR HARDWICK, MA",42.3934237,-72.2384148,113,MA,Non-ref,30.9,ultramafic,ultramafic,"Till, or ground moraine",121.1,0.17,0,0,4.61,79.46,4.3,2.64,0,0.41,282.5014,6.476802,0.11,4.33,4.63,39.98,55.38,11.71396,9.987120567,0.01,0.099871203,0.861911957,-1.982051384,0,7.276322796
1195100,1.199558846,0.039340256,37,1278.72973,327.8108108,321.3783784,292.2972973,330.8648649,1066,426.5675676,223.2972973,123.2432432,292.8648649,15.66468201,26.55258519,17.20608851,4.179051249,14.49615159,5.154957059,15.75643361,6.411493911,-5.138333498,3.362837838,40.72972973,185.8648649,325.2162162,50.30555556,0,2.243243243,45.33333333,36.58333333,181.2041082,264.0420094,150.7404217,96.15846616,211.9224442,0,0,0,0,0,91.51351351,89.21621622,90.18918919,91.94594595,0.486486486,0.054054054,0,0,92,89.27027027,90.18918919,91.94594595,363.4054054,362.8648649,0.540540541,0.001480933,0.005287897,0.000594001,0,0,0.998519067,0.994712103,0.999405999,1,1,157.2351351,26.04973174,149.8918919,0.164324324,0.027224224,292.0540541,308.4,313.9,55.5,62.25,13,13.5,,,,,592.4633278,64.72972973,158.0540541,252.5405405,1.189189189,336.8716216,356.4324324,320.1621622,335.4459459,0.189189189,2.933333333,3.2,2.8,2.8,1.120680751,0.433012702,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.421149,0.467403,0.083425,7,"INDIAN RIVER NEAR CLINTON, CT",41.3061722,-72.5310333,14.8,CT,Ref,23.8,sedimentary,sedimentary,"Till, or ground moraine",760.8,0,0,0,12.02,75.79,3.03,0.16,0,1.74,71.26803,4.079622,0.13,3.67,6.27,46.48,47.25,11.66825,13.87686813,,,,,,
1310500,1.019458802,0.034310232,31,1189.774194,294.7096774,279.7419355,274.3548387,328.5806452,1167.064516,479.6129032,238.2258065,128.8709677,318.0322581,16.55514678,27.57261571,17.82339305,5.14201347,15.40553997,7.308250762,17.75539972,8.556521057,-2.760927173,5.356767181,40.41935484,185.0967742,324.9677419,40.82142857,0,0.965517241,36.32142857,22.71428571,191.0429849,286.1784712,151.7472179,97.29626216,226.3236325,0,0,0,0,0,89.74193548,86.70967742,90.22580645,92,2.258064516,2.35483871,0,0,92,89.06451613,90.22580645,92,363.2903226,358.6774194,4.612903226,0.01262964,0.02454418,0.025877348,0,0,0.98737036,0.97545582,0.974122652,1,1,171.6193548,5.627122388,162.4516129,0.72516129,0.023776871,229.0322581,180.7142857,190.5141032,70.75,80.32142857,3.666666667,17.2004662,,,,,96.11381423,58.51612903,182,304.0645161,1.35483871,321.0301075,357.8709677,296,312.516129,0.387096774,8.714285714,14,4.571428571,8.142857143,1.512909773,0.965945105,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.505092,0.434718,0,2,EAST MEADOW BROOK AT FREEPORT NY,40.66555556,-73.5697222,78.1,NY,Non-ref,17.2,quarternary,quarternary,"Till, or ground moraine",234.6,0,0,0,87.76,11.58,0,0.06,0,38.43,45.72836,0.874936,0.1,8.65,6.4,49.11,44.49,12.53591,17.11626959,0.150000006,2.567440541,0.77617688,-2.445582813,0,5.97278498
1311500,0.954781803,0.033702642,39,1162.948718,300.9487179,279.7435897,259.5128205,318.6666667,1218.025641,494.9230769,254.7948718,140.8974359,324.8974359,16.85833423,27.84060758,18.20093769,5.448849754,15.65225753,8.167309141,18.71858974,9.54785093,-2.094904042,6.218979933,42.48717949,189.9487179,326.6410256,39.19444444,0,0.540540541,35.61111111,19.27777778,192.5690438,288.1276477,153.9592266,98.33246924,227.1022854,0,0,0,0,0,67.66666667,55.53846154,65.48717949,76.1025641,24.33333333,34.69230769,24.76923077,15.8974359,92,90.23076923,90.25641026,92,364.4871795,264.7948718,99.69230769,0.274275502,0.264492754,0.388301484,0.274321405,0.172798216,0.725724498,0.735507246,0.611698516,0.725678595,0.827201784,54.27205128,13.54680499,182.1282051,0.029230769,0.00729627,191.3076923,43.9,176.3344284,25,59.33063721,8.444444444,40.09902366,1.1875,38.56323605,1.545454545,38.38030356,198.6989963,76.43589744,194.3076923,298.5128205,8.717948718,122.0953315,227.2051282,95,105.9871795,8.487179487,10.20964259,34.5,1.766666667,6.816666667,1.809990383,0.986938606,Northeastern Coastal Zone,MIXED WOOD PLAINS,EASTERN TEMPERATE FORESTS,0.505092,0.434718,0,3,VALLEY STREAM AT VALLEY STREAM NY,40.6636111,-73.7044444,18.1,NY,Non-ref,16,quarternary,quarternary,"Till, or ground moraine",233.6,0,0,0,99.03,0.72,0,0,0,62.83,13.05671,0.3300166,0.08,8.21,9.17,39.94,50.89,14.12635,18.67681093,0.150000006,2.801521751,0.606139609,-2.533162022,0,4.037751705
1378500,1.096248631,0.034185366,39,1231.846154,333.3846154,309.4615385,258,326.5384615,1123.692308,460.6410256,222.3333333,117,321.5384615,16.69992981,28.03076923,17.67110292,4.560912307,16.2384058,6.320730939,17.09434225,7.374188065,-4.407332582,4.938740245,40.69230769,195.8205128,328.3333333,42.11111111,0,0.810810811,38.47222222,25.22222222,176.3140892,260.1251394,142.0511897,92.28302495,208.3046265,0,0,0,0,0,87.56410256,87,87.25641026,89.56410256,4.435897436,3.230769231,3,2.435897436,92,90.23076923,90.25641026,92,364.4871795,351.3846154,13.1025641,0.035888031,0.048216276,0.035502959,0.033333333,0.026477146,0.964111969,0.951783724,0.964497041,0.966666667,0.973522854,2030.049231,16.90558172,199.974359,2.365384615,0.019698144,166.3076923,99.14285714,156.0816962,6,49.12037037,36.66666667,46.71794872,7,37.26851852,3,38.95129871,180.0249889,99.15384615,190.025641,268.8205128,1.384615385,330.011396,342.2564103,320.3589744,329.1794872,0.435897436,32.92261905,46.57142857,25.14285714,31.14285714,1.17964115,0.947396701,Northern Piedmont,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,0.42271,0.473037,0.131704,7,Hackensack River at New Milford NJ,40.9483333,-74.0266667,300.3,NJ,Non-ref,18.3,sedimentary,sedimentary,"Till, or ground moraine",176.8,0,1,23.4,70.93,14.65,0.83,3.88,0,12.57,61.59075,3.883005,0.13,4.89,10.04,48.46,41.5,12.413,12.12199238,0.219141376,2.656430091,1.059419255,-1.795962554,0,11.46619319
1379530,1.112006823,0.045076742,32,1263.03125,357.40625,321.125,272.78125,305.6875,1135.8125,457.625,234.25,124.65625,320.75,17.1224058,28.54595788,18.45693681,4.839067842,16.43722826,5.433430459,16.25628397,6.316826923,-5.261907433,4.165081522,40.34375,200.0625,333.46875,56.93333333,0,1.677419355,51.3,33.56666667,174.5593217,256.4273098,142.6181319,91.3417964,206.594769,0,0,0,0,0,84.59375,83.5,84.875,86.40625,7.1875,7.40625,4.5,4.78125,91.875,91,89.4375,91.46875,363.78125,339.375,23.875,0.065518123,0.078125,0.081387363,0.049778693,0.051970109,0.933025208,0.920840882,0.917582418,0.949534493,0.944972826,590.375,50.50533617,168.5,0.1009375,0.00863499,176.78125,55.13333333,161.4790583,26.81818182,51.60490462,24.81818182,46.93960726,11.22222222,27.99673347,23.5,51.67729677,463.093939,65.6875,167.84375,288.4375,7.46875,185.1397253,253.0625,146.90625,179.703125,6.6875,2.833832752,6.142857143,1.142857143,2.333333333,1.260085246,0.708287405,Northern Piedmont,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,0.458751,0.419823,0.074263,4,Canoe Brook near Summit NJ,40.74444444,-74.3536111,29.9,NJ,Non-ref,18.5,sedimentary,sedimentary,"Till, or ground moraine",137,0,0,0,70.75,21.45,0.3,1.13,0,13.56,115.3276,3.915744,0.11,1.03,11.92,52.06,36.01,11.33202,11.90229195,0.117368423,1.396953236,0.800734935,-2.026649456,0,6.320259868
