site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,drainagearea,wyearsdata,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3
1097300,NA,NA,NA,NA,NA,2.36658009,1.03029864,0.61038759,NA,0.87495744,NA,NA,NA,NA,NA,0.03494803,0.05051285,0.05358935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0175,-0.00128656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NASHOBA BROOK NEAR ACTON, MA",42.51259289,-71.40422829,30.9,MA,Non-ref,27,sedimentary,sedimentary,"Till, or ground moraine",54.1,0.2,0,0,31.67,44.9,7.08,0.77,0,11.04,70.17964,2.91386,0.11,7.83,4.7,35.38,59.92,59,Northeastern Coastal Zone
1101000,NA,NA,NA,NA,NA,3.05273001,1.42186957,0.77438669,NA,1.14239869,NA,NA,NA,NA,NA,0.03209484,0.04813524,0.05216129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARKER RIVER AT BYFIELD, MA",42.75286948,-70.9456096,55.5,MA,Non-ref,26,sedimentary,sedimentary,"Till, or ground moraine",51.3,0,0,0,17.87,53.48,7.28,1.82,0,4.69,35.30418,3.117721,0.13,5.56,5.16,40.51,54.33,59,Northeastern Coastal Zone
1109070,NA,NA,NA,NA,NA,2.99812749,1.337898,0.72528438,NA,0.92653838,NA,NA,NA,NA,0.03406266,0.03013801,0.04332718,0.0531185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.840379,-71.142824,27.2,MA,Non-ref,24,sedimentary,sedimentary,"Till, or ground moraine",51.8,0.46,0,0,14.73,60.85,5.91,0.12,0,4.31,34.20231,1.560778,0.15,2.29,6.38,47.51,46.11,59,Northeastern Coastal Zone
1110000,NA,NA,NA,NA,NA,2.00038367,NA,NA,NA,0.87031848,NA,NA,NA,NA,NA,0.02971399,0.04444982,0.0562227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.230372,-71.7109023,66.1,MA,Non-ref,27.9,sedimentary,sedimentary,"Till, or ground moraine",121.1,0,2,24,60.29,26.71,1.3,4.72,0,26.99,148.3863,4.575836,0.13,5.44,5.36,41.58,53.06,59,Northeastern Coastal Zone
1174500,NA,NA,NA,NA,NA,2.07737353,NA,NA,NA,0.88701739,NA,NA,NA,NA,NA,0.02820391,0.03914268,0.04820161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST BRANCH SWIFT RIVER NEAR HARDWICK, MA",42.3934237,-72.2384148,113,MA,Non-ref,30.9,ultramafic,ultramafic,"Till, or ground moraine",121.1,0.17,0,0,4.61,79.46,4.3,2.64,0,0.41,282.5014,6.476802,0.11,4.33,4.63,39.98,55.38,59,Northeastern Coastal Zone
1195100,NA,NA,NA,NA,NA,2.031140168,NA,0.82773503,NA,NA,NA,NA,0.031164173,NA,NA,0.023592904,0.040721728,0.042704761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006,-0.000994042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIAN RIVER NEAR CLINTON, CT",41.3061722,-72.5310333,14.8,CT,Ref,23.8,sedimentary,sedimentary,"Till, or ground moraine",760.8,0,0,0,12.02,75.79,3.03,0.16,0,1.74,71.26803,4.079622,0.13,3.67,6.27,46.48,47.25,59,Northeastern Coastal Zone
1310500,NA,NA,NA,NA,NA,4.65281482,1.73401148,1.23182425,0.62002646,0.77129602,0.02719874,0.03826422,0.03350731,NA,0.03900499,0.02697792,0.03719954,0.045274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST MEADOW BROOK AT FREEPORT NY,40.66555556,-73.5697222,78.1,NY,Non-ref,17.2,quarternary,quarternary,"Till, or ground moraine",234.6,0,0,0,87.76,11.58,0,0.06,0,38.43,45.72836,0.874936,0.1,8.65,6.4,49.11,44.49,84,Atlantic Coastal Pine Barrens
1311500,NA,NA,NA,NA,NA,5.248274107,1.844017721,1.398036021,0.740954984,0.899983434,0.027850246,0.040658739,0.031716019,NA,0.041412658,0.026750406,0.035338682,0.043128217,NA,NA,NA,NA,NA,NA,NA,1.47826087,2.466666667,0.75,0,-1.47826087,-2.466666667,-0.666666667,0,NA,NA,NA,NA,NA,7.592592593,-7.5,-0.020700152,-0.016068053,-0.027106227,-0.006349206,0,1.067857143,0.266547,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5704971,NA,NA,NA,-0.454545455,4.448529412,9.192307692,0,0.5,-0.5,NA,NA,NA,NA,NA,NA,VALLEY STREAM AT VALLEY STREAM NY,40.6636111,-73.7044444,18.1,NY,Non-ref,16,quarternary,quarternary,"Till, or ground moraine",233.6,0,0,0,99.03,0.72,0,0,0,62.83,13.05671,0.3300166,0.08,8.21,9.17,39.94,50.89,84,Atlantic Coastal Pine Barrens
1378500,NA,NA,NA,3.281724138,NA,3.640987465,1.559809842,0.877538391,NA,0.876521746,NA,NA,NA,NA,NA,0.030664167,0.036571188,0.049473338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,0.00071618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hackensack River at New Milford NJ,40.9483333,-74.0266667,300.3,NJ,Non-ref,18.3,sedimentary,sedimentary,"Till, or ground moraine",176.8,0,1,23.4,70.93,14.65,0.83,3.88,0,12.57,61.59075,3.883005,0.13,4.89,10.04,48.46,41.5,59,Northeastern Coastal Zone
1379530,NA,NA,NA,NA,NA,4.96751413,2.00416926,1.11339397,0.66254186,1.08317107,0.02459222,0.04251341,NA,NA,0.04570071,0.03646039,0.04306254,0.05195774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canoe Brook near Summit NJ,40.74444444,-74.3536111,29.9,NJ,Non-ref,18.5,sedimentary,sedimentary,"Till, or ground moraine",137,0,0,0,70.75,21.45,0.3,1.13,0,13.56,115.3276,3.915744,0.11,1.03,11.92,52.06,36.01,64,Northern Piedmont
