site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3
1097300,6.249986173,3.129285933,2.992192841,3.973611156,3.52682775,17.57689061,16.25822679,5.328811066,8.239787046,14.27618031,19.5282096,28.50897236,18.84526604,1.956569419,12.5615158,4.314759717,17.20446684,4.97637422,-4.497182837,1.622870446,2.326395723,7.828240789,12.65721053,60.30645138,Inf,203.5387643,Inf,0.169030851,NA,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,250.8222589,0.169030851,0.169030851,0.169030851,NA,NA,NA,1.896377783,1.896377783,2.629022355,0.861370734,0.861370734,2.744012103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.402683941,2.64289762,7.434168103,7.131054829,1.352246808,6.882785669,32.92919189,5.763154615,5.922013964,0.169030851,NA,NA,NA,NA,NA,NA,"NASHOBA BROOK NEAR ACTON, MA",42.51259289,-71.40422829,30.9,MA,Non-ref,27,sedimentary,sedimentary,"Till, or ground moraine",54.1,0.2,0,0,31.67,44.9,7.08,0.77,0,11.04,70.17964,2.91386,0.11,7.83,4.7,35.38,59.92,59,Northeastern Coastal Zone
1101000,5.662827221,2.701838315,2.848386824,3.744218449,2.953388452,16.69537259,15.67296335,5.231877653,8.349582014,14.13820493,19.85170161,28.82633655,19.85343546,1.991986781,12.34616838,5.199278193,18.67536839,6.240839603,-4.303524158,2.04581034,2.369523979,7.019980407,11.76829156,271.9706392,Inf,203.5387643,Inf,0.169030851,NA,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,772.4376452,0.169030851,0.169030851,0.169030851,NA,NA,NA,1.376132734,1.376132734,2.834508939,0.512779722,0.512779722,1.734519879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.987164995,2.720670163,6.108383245,8.054387438,3.127070742,8.558457405,68.78623608,5.896367658,5.913441132,0.169030851,NA,NA,NA,NA,NA,NA,"PARKER RIVER AT BYFIELD, MA",42.75286948,-70.9456096,55.5,MA,Non-ref,26,sedimentary,sedimentary,"Till, or ground moraine",51.3,0,0,0,17.87,53.48,7.28,1.82,0,4.69,35.30418,3.117721,0.13,5.56,5.16,40.51,54.33,59,Northeastern Coastal Zone
1109070,6.121879809,2.774612007,2.700650891,4.026306663,3.461906253,16.42143684,15.06442724,5.315936092,8.50700963,14.53788347,21.4840931,32.40730684,21.48705204,2.837685234,13.6436263,6.675572032,19.63002568,6.840176038,-3.818531891,2.904875544,2.376355753,7.738828448,12.35019022,6.230108024,6.445062262,209.5758321,Inf,0.510735248,0.490945612,NA,NA,Inf,Inf,209.5758321,Inf,848.2766243,20.33829734,0.774554138,0.774640697,0.510735248,0.490945612,NA,NA,2.031965918,2.031965918,2.511413713,0.570579802,0.570579802,2.163123803,1.603146037,1.904075642,3.856749107,6.801024973,0.58614343,1.71383603,NA,NA,NA,NA,3.445475028,2.808735064,7.701423784,6.282215826,2.012747102,2.960506311,11.70359534,1.547855615,2.622037119,0.732298491,1.258846215,NA,NA,1.151302531,5.32642573,1.792011063,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.840379,-71.142824,27.2,MA,Non-ref,24,sedimentary,sedimentary,"Till, or ground moraine",51.8,0.46,0,0,14.73,60.85,5.91,0.12,0,4.31,34.20231,1.560778,0.15,2.29,6.38,47.51,46.11,59,Northeastern Coastal Zone
1110000,6.596187741,2.97192958,2.918511455,4.4162637,3.728158445,18.24432172,17.17360643,5.351218807,8.383814805,14.14680162,18.95267797,28.89057167,18.54748431,1.611707,11.99322005,5.194618015,19.40520478,5.965922843,-4.257445357,2.04878266,2.404005019,7.545474023,13.19426505,Inf,Inf,203.5387643,Inf,NA,NA,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,823.6909031,NA,NA,NA,NA,NA,NA,2.117874247,2.117874247,2.18425409,0.899973819,0.899973819,2.234219327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.538819398,2.670116922,6.776083565,8.5230703,Inf,823.6909031,823.6909031,823.6909031,823.6909031,NA,NA,NA,NA,NA,NA,NA,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.230372,-71.7109023,66.1,MA,Non-ref,27.9,sedimentary,sedimentary,"Till, or ground moraine",121.1,0,2,24,60.29,26.71,1.3,4.72,0,26.99,148.3863,4.575836,0.13,5.44,5.36,41.58,53.06,59,Northeastern Coastal Zone
1174500,6.266125452,4.149820152,2.8894465,4.40848151,3.677035357,18.25583428,17.36323632,5.363214005,8.107132925,13.80500762,17.57165777,27.96698719,17.47464847,0.817112351,11.14353949,3.34466718,17.62641654,4.812937554,-4.895750594,0.904515005,2.507111565,7.47659408,12.88039155,12.43840097,9.176348901,203.5387643,Inf,0.292575229,0.322081794,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,28.92079926,0.417452314,0.417360513,0.292575229,0.322081794,NA,NA,2.596916713,2.596916713,2.025090044,0.97395006,0.97395006,2.71691479,1.614177182,1.647538422,4.706343703,6.271961521,0.595491334,2.235900833,NA,NA,NA,NA,4.298692874,2.630305211,6.296005284,7.835270906,2.062166279,4.770031952,18.98950482,2.819200921,4.289195231,0.414543463,1.169053543,NA,NA,1.106225015,6.526811893,NA,"EAST BRANCH SWIFT RIVER NEAR HARDWICK, MA",42.3934237,-72.2384148,113,MA,Non-ref,30.9,ultramafic,ultramafic,"Till, or ground moraine",121.1,0.17,0,0,4.61,79.46,4.3,2.64,0,0.41,282.5014,6.476802,0.11,4.33,4.63,39.98,55.38,59,Northeastern Coastal Zone
1195100,6.571315372,2.660841098,2.89702,4.371831788,3.182923645,17.87472829,17.03955293,5.297777472,9.413150476,15.23423192,21.42039586,32.94275117,21.12302324,2.816532052,14.10901632,7.856716706,21.12810899,8.20303452,-3.580413368,3.535182001,2.334891735,6.484663424,13.81612121,54.23545489,8.241164235,203.5387643,Inf,0.304883881,0.169030851,NA,NA,Inf,8.242895091,203.5387643,Inf,33.42894567,33.22905263,0.335603039,0.335603039,0.304883881,0.169030851,NA,NA,1.560588106,1.560588106,1.828393215,0.877876225,0.877876225,3.924117684,12.73662676,15.50856392,4.899178304,9.040112718,NA,NA,NA,NA,NA,NA,3.90432032,2.423805278,6.015783631,6.974878156,2.054431711,4.584955097,15.78474404,2.73841608,4.242293348,0.342405285,1.847012113,NA,NA,1.704025734,4.556888583,NA,"INDIAN RIVER NEAR CLINTON, CT",41.3061722,-72.5310333,14.8,CT,Ref,23.8,sedimentary,sedimentary,"Till, or ground moraine",760.8,0,0,0,12.02,75.79,3.03,0.16,0,1.74,71.26803,4.079622,0.13,3.67,6.27,46.48,47.25,59,Northeastern Coastal Zone
1310500,5.456058774,3.665789194,2.666459077,4.303525787,2.933453817,14.99035927,14.79145331,5.257210389,8.097764264,12.82566499,20.87414659,30.04153594,21.46146105,3.240414329,14.2083418,11.17892213,24.87802308,11.83740753,-1.940026546,5.544544845,2.432364449,6.684757676,14.42824995,11.3109177,8.890631971,212.9593945,Inf,0.3279885,0.267474425,NA,NA,Inf,15.56921226,212.9593945,Inf,62.42100749,30.15298786,0.440372897,0.440208324,0.3279885,0.267474425,NA,NA,1.360569388,1.360569388,1.484294971,0.937757957,0.937757957,1.567182116,1.295457413,1.31112078,4.029720286,9.236159102,Inf,3.820487385,NA,NA,NA,NA,1.954321187,2.126557076,5.50600389,11.66309194,1.47981788,3.382593597,18.16098171,2.128871177,2.603511294,0.437769689,1.644174818,NA,NA,1.502087684,5.006686337,3.041100466,EAST MEADOW BROOK AT FREEPORT NY,40.66555556,-73.5697222,78.1,NY,Non-ref,17.2,quarternary,quarternary,"Till, or ground moraine",234.6,0,0,0,87.76,11.58,0,0.06,0,38.43,45.72836,0.874936,0.1,8.65,6.4,49.11,44.49,84,Atlantic Coastal Pine Barrens
1311500,5.36363214,3.546960697,2.742275136,3.922510856,3.02527969,14.2882714,14.26052094,5.229382622,8.157385823,12.8215337,21.12443883,29.59441633,22.320724,3.479608237,14.32273449,12.39450423,26.6811276,13.12762021,-1.458195228,6.560319469,2.392339725,6.483644279,14.38089652,2.435050665,1.651426652,1.979816586,2.902409485,0.817070091,1.021232843,0.658155384,0.542396465,Inf,Inf,203.5387643,Inf,823.6909031,2.412475091,0.846781461,0.846600731,0.817070091,1.021232843,0.657522561,0.542396465,1.576980133,1.576980133,1.709991748,0.300592872,0.300592872,1.25035886,0.447520002,1.742909335,1.160233126,5.16686951,0.674432541,3.547639076,2.09745022,2.317411075,0.833333333,5.383738767,1.452135396,1.648316189,4.179270179,8.220094623,1.275483402,0.799121884,1.776102087,0.549917531,0.633793623,1.146452198,1.560872875,NA,NA,1.349996804,2.384524808,2.841616433,VALLEY STREAM AT VALLEY STREAM NY,40.6636111,-73.7044444,18.1,NY,Non-ref,16,quarternary,quarternary,"Till, or ground moraine",233.6,0,0,0,99.03,0.72,0,0,0,62.83,13.05671,0.3300166,0.08,8.21,9.17,39.94,50.89,84,Atlantic Coastal Pine Barrens
1378500,5.184001354,3.54500628,2.772432912,3.707367211,2.911616097,16.03927959,15.02489161,5.243198995,7.948170175,14.48372772,20.51369068,29.14227549,20.60224392,2.831456768,14.02417915,9.256142463,23.09714675,9.824986704,-2.772612834,4.686004231,2.152086925,6.800517355,13.7759984,6.550467174,11.48087832,19.32884983,77.58516058,0.169030851,0.307193069,0.169030851,0.169030851,Inf,Inf,203.5387643,Inf,823.6909031,18.51427677,0.291381713,0.291258338,0.169030851,0.307193069,0.169030851,0.169030851,1.029734564,1.029734564,2.407580208,0.636834402,0.636834402,1.37846559,0.884837102,1.089892066,NA,NA,0.863900837,1.223546941,NA,NA,NA,NA,1.360836392,1.654285223,3.432480582,5.34422254,0.954624316,4.091699795,7.046929813,2.981324763,3.933724604,0.297473456,1.279685349,NA,NA,1.003139725,2.986683407,3.307508466,Hackensack River at New Milford NJ,40.9483333,-74.0266667,300.3,NJ,Non-ref,18.3,sedimentary,sedimentary,"Till, or ground moraine",176.8,0,1,23.4,70.93,14.65,0.83,3.88,0,12.57,61.59075,3.883005,0.13,4.89,10.04,48.46,41.5,59,Northeastern Coastal Zone
1379530,5.559771669,3.485117896,2.755775318,3.858749414,2.884522711,13.64520437,12.93113531,5.152843881,7.277505836,13.72371919,19.19247336,27.09531767,19.99781147,2.63832747,13.2901065,8.132360315,20.74722712,8.091548352,-3.103450788,4.190660506,2.282181922,7.103290938,14.40677727,5.585759715,6.764789354,6.916807342,7.372606306,0.525828159,0.541413446,0.408509875,0.448774917,247.5318858,Inf,27.73658795,49.35782089,66.8477363,8.235757547,0.598660485,0.598775114,0.525828159,0.541413446,0.410046355,0.448774917,1.131252091,1.131252091,1.842554967,-0.269519319,-0.269519319,1.271634287,0.646048289,1.80081874,0.851837296,2.444146231,1.330835197,3.25934157,0.619932386,1.742315121,0.709104424,2.160090737,2.274825154,2.370225163,4.038821239,6.211306506,0.71776549,1.301603208,2.253857478,0.914178348,1.229355339,0.624672838,1.664845244,NA,NA,1.994976435,2.615925034,5.046353434,Canoe Brook near Summit NJ,40.74444444,-74.3536111,29.9,NJ,Non-ref,18.5,sedimentary,sedimentary,"Till, or ground moraine",137,0,0,0,70.75,21.45,0.3,1.13,0,13.56,115.3276,3.915744,0.11,1.03,11.92,52.06,36.01,64,Northern Piedmont
