site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,drainagearea,wyearsdata,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,agency_cd,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3,TOPWET
1097300,1193.988857,300.8494286,302.0911429,279.8422857,309.5471429,1024.636087,432.3418484,201.2471232,97.84568723,290.0846157,15.36367541,26.95027509,16.63075453,3.088780448,14.36455946,3.14501086,14.23493696,4.297072255,-8.020569901,1.689896906,37.11428571,181.4285714,321.2857143,33.27872,39,91.74285714,91,90.25714286,92,0.257142857,0,0,0,92,91,90.25714286,92,365.2571429,365,0.257142857,0.000702576,0.002795031,0,0,0,203.5857143,14.96715731,168.8,0.613714286,0.045118874,291.6,301,324.9230769,57,68.66666667,NA,NA,NA,NA,NA,NA,546.8093751,61.71428571,164.8857143,258.5428571,1.142857143,356.4809524,363.3714286,354.8285714,355.1,0.142857143,2.6,#NAME?,Inf,3,2.012838282,0.43852901,USGS,"NASHOBA BROOK NEAR ACTON, MA",42.51259289,-71.40422829,30.9,MA,Non-ref,27,sedimentary,sedimentary,"Till, or ground moraine",54.1,0.2,0,0,31.67,44.9,7.08,0.77,0,11.04,70.17964,2.91386,0.11,7.83,4.7,35.38,59.92,59,Northeastern Coastal Zone,12.72392
1101000,1216.097714,289.5325714,310.7714286,284.9714286,329.2254286,1021.894712,432.2042232,197.3298747,103.7194029,285.6048157,14.94309682,26.32208795,16.43738939,3.017037665,13.59547246,3.723254311,14.50403942,5.166389165,-7.207900831,2.067232461,37.62857143,178.7428571,318.1428571,55.37787,39,91.94285714,91,90.25714286,92,0.057142857,0,0,0,92,91,90.25714286,92,365.2571429,365.2,0.057142857,0.000156128,0.000621118,0,0,0,301.3085714,13.31171085,167.8,0.762285714,0.033677525,252.0857143,335,346.6923077,91,91.5,NA,NA,NA,NA,NA,NA,655.3637069,68.77142857,168.1714286,251.3142857,1.057142857,358.1619048,364.3428571,355.0571429,355.0857143,0.085714286,4.333333333,#NAME?,Inf,4,1.592216682,0.580756495,USGS,"PARKER RIVER AT BYFIELD, MA",42.75286948,-70.9456096,55.5,MA,Non-ref,26,sedimentary,sedimentary,"Till, or ground moraine",51.3,0,0,0,17.87,53.48,7.28,1.82,0,4.69,35.30418,3.117721,0.13,5.56,5.16,40.51,54.33,59,Northeastern Coastal Zone,12.07921
1109070,1245.705714,294.2294286,313.536,305.4437143,331.2382857,1057.960227,435.3866347,210.2640214,115.6181938,293.7356032,15.69911192,26.63629916,17.10002973,4.293147297,14.38448082,4.481266729,14.90822169,5.708670883,-5.801627379,2.759346039,37.08571429,174.2,318.5428571,27.55894,38,85.02941176,84.55882353,90.23529412,92,6.970588235,6.441176471,0,0,92,91,90.23529412,92,365.2352941,351.8235294,13.41176471,0.036718141,0.075767263,0.070782159,0,0,318.3647059,28.26318121,167.0882353,0.118823529,0.010548691,268.1470588,225.2,254.5647943,63.54545455,75.69847799,6.333333333,19.88888889,NA,NA,NA,NA,730.5168343,63.41176471,155.9705882,252.7647059,1.411764706,292.8161765,343.0588235,249.2647059,288.1323529,0.647058824,25.72222222,#NAME?,Inf,24.56666667,1.295115185,0.855224944,USGS,"SEGREGANSET RIVER NEAR DIGHTON, MA",41.840379,-71.142824,27.2,MA,Non-ref,24,sedimentary,sedimentary,"Till, or ground moraine",51.8,0.46,0,0,14.73,60.85,5.91,0.12,0,4.31,34.20231,1.560778,0.15,2.29,6.38,47.51,46.11,59,Northeastern Coastal Zone,12.39801
1110000,1184.982857,304.0188571,293.6091429,274.8614286,310.7234286,1018.271212,423.1463886,202.8341076,100.1190582,289.2020483,14.94077332,26.38895239,16.29544654,2.58547067,14.0691096,3.750951781,14.9580076,4.985651289,-7.462467503,2.140089843,37,180.8857143,318.6,66.55744,39,92,91,90.25714286,92,0,0,0,0,92,91,90.25714286,92,365.2571429,365.2571429,0,0,0,0,0,0,269.5371429,9.907877945,178.5142857,1.492,0.054844218,267.3142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.9245598,58.77142857,169.9428571,273.8,1,365.2571429,365.2571429,365.2571429,365.2571429,0,NA,#NAME?,Inf,NA,NA,NA,USGS,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",42.230372,-71.7109023,66.1,MA,Non-ref,27.9,sedimentary,sedimentary,"Till, or ground moraine",121.1,0,2,24,60.29,26.71,1.3,4.72,0,26.99,148.3863,4.575836,0.13,5.44,5.36,41.58,53.06,59,Northeastern Coastal Zone,12.33035
1174500,1176.728571,321.6845714,301.7202857,257.3374286,294.0534286,935.2336775,400.0853188,177.3709519,83.88041946,271.0315143,13.85709352,25.47307712,15.11453013,1.302620238,13.10166929,2.389849759,13.34725194,3.871381245,-8.977704654,0.94233417,36.48571429,187.7428571,323.6,113.61563,39,89.88571429,87.91428571,90.25714286,92,2.114285714,3.085714286,0,0,92,91,90.25714286,92,365.2571429,360.0571429,5.2,0.01423524,0.022981366,0.033908948,0,0,714.6285714,15.3886645,164.2285714,4.318857143,0.09300138,298,241.875,257.6799242,67,76.1875,5,15.3,NA,NA,NA,NA,629.5806336,58.31428571,167.8857143,270.1714286,1.171428571,337.55,357.2285714,321.6571429,335.6571429,0.314285714,22.78125,#NAME?,Inf,22.1875,1.409303379,1.383359056,USGS,"EAST BRANCH SWIFT RIVER NEAR HARDWICK, MA",42.3934237,-72.2384148,113,MA,Non-ref,30.9,ultramafic,ultramafic,"Till, or ground moraine",121.1,0.17,0,0,4.61,79.46,4.3,2.64,0,0.41,282.5014,6.476802,0.11,4.33,4.63,39.98,55.38,59,Northeastern Coastal Zone,11.71396
1195100,1292.318571,325.4611429,323.4894286,298.1465714,343.6771429,1061.287984,426.2656033,215.3001502,122.7928752,293.8407361,15.66100027,26.33878686,17.14529033,4.328832536,14.44635634,5.072350135,15.67730468,6.445212797,-5.53721527,3.347000531,40.51428571,183.7142857,325.0285714,14.767432,37,91.48571429,89.11428571,90.25714286,92,0.514285714,0.057142857,0,0,92,89.17142857,90.25714286,92,363.4285714,362.8571429,0.571428571,0.001565558,0.005590062,0.000627943,0,0,156.5342857,25.9336194,142.8285714,0.17,0.028164535,308.5428571,308.4,313.9,55.5,62.25,13,13.5,NA,NA,NA,NA,593.5153074,63.51428571,156.6285714,249.5142857,1.2,335.3785714,356.0571429,317.7142857,333.8714286,0.2,2.933333333,#NAME?,Inf,2.8,1.120680751,0.433012702,USGS,"INDIAN RIVER NEAR CLINTON, CT",41.3061722,-72.5310333,14.8,CT,Ref,23.8,sedimentary,sedimentary,"Till, or ground moraine",760.8,0,0,0,12.02,75.79,3.03,0.16,0,1.74,71.26803,4.079622,0.13,3.67,6.27,46.48,47.25,59,Northeastern Coastal Zone,11.66825
1310500,1182.960286,312.6911429,282.064,271.9777143,314.3551429,1163.91489,480.1634363,233.5507445,128.5524139,318.2397494,16.72225626,27.54807921,18.17507376,5.301726215,15.48207932,7.289051461,17.68243315,8.81293652,-2.865175222,5.189942542,40.51428571,186.0285714,324.1428571,74.61713,31,89.40740741,87.66666667,90.22222222,92,2.592592593,2.222222222,0,0,92,89.88888889,90.22222222,92,364.1111111,359.2962963,4.814814815,0.01318157,0.028180354,0.024420024,0,0,177.3777778,5.815931807,160.5185185,0.691851852,0.022684709,237.1851852,210,221.2664537,70.75,80.32142857,1,16.45454545,NA,NA,NA,NA,96.51056237,58.81481481,179.7777778,301.8518519,1.37037037,321.2938272,357.037037,299.1111111,311.5185185,0.407407407,9.666666667,#NAME?,Inf,9,1.538899682,0.965945105,USGS,EAST MEADOW BROOK AT FREEPORT NY,40.66555556,-73.5697222,78.1,NY,Non-ref,17.2,quarternary,quarternary,"Till, or ground moraine",234.6,0,0,0,87.76,11.58,0,0.06,0,38.43,45.72836,0.874936,0.1,8.65,6.4,49.11,44.49,84,Atlantic Coastal Pine Barrens,12.53591
1311500,1180.845429,314.7557143,279.1937143,268.3257143,316.2665714,1216.776973,495.5382682,250.4047098,140.1287523,327.0923083,17.16536556,28.07342809,18.6326866,5.756049236,15.81918732,8.032061418,18.4773583,9.501072852,-2.12502557,5.93413121,39.94285714,188.2857143,323.4,9.801623,39,68.88571429,56.22857143,67.74285714,77.51428571,23.11428571,34.77142857,22.51428571,14.48571429,92,91,90.25714286,92,365.2571429,270.3714286,94.88571429,0.259791901,0.251242236,0.382103611,0.249474969,0.157453416,56.72314286,14.15862008,183.7142857,0.031142857,0.007773545,212.2571429,46.82142857,176.3676117,26.6,59.92977119,8.88,40.13251418,1.214285714,37.5361542,1.666666667,40.3986779,204.2405425,74.51428571,195.2,298.6571429,8.914285714,114.9351551,229.9714286,84.94285714,97.12857143,8.685714286,9.253634918,#NAME?,Inf,6.303571429,1.837051097,0.966895687,USGS,VALLEY STREAM AT VALLEY STREAM NY,40.6636111,-73.7044444,18.1,NY,Non-ref,16,quarternary,quarternary,"Till, or ground moraine",233.6,0,0,0,99.03,0.72,0,0,0,62.83,13.05671,0.3300166,0.08,8.21,9.17,39.94,50.89,84,Atlantic Coastal Pine Barrens,14.12635
1378500,1225.998,345.9711429,310.5414286,255.2985714,313.0934286,1118.450828,459.8026918,218.3999789,114.9344106,322.0617691,16.81429018,28.05066655,18.03567309,4.661954129,16.08524341,6.302415896,17.03512257,7.542877172,-4.38905264,4.655405545,40.54285714,195.4857143,325.4571429,293.7887,39,89.68571429,88.62857143,89.48571429,91.8,2.314285714,2.371428571,0.771428571,0.2,92,91,90.25714286,92,365.2571429,359.6,5.657142857,0.015488542,0.02515528,0.026059655,0.008571429,0.002173913,2102.397714,17.50807607,198.8857143,2.530285714,0.021071386,175.4571429,112.5,150.4217828,11,51.74074074,34.2,42.06153846,13,29.03703704,5,32.85714286,186.7185355,89.94285714,187.8285714,268.6285714,1.371428571,336.1746032,349.5428571,325.5714286,335.3714286,0.428571429,10.07638889,#NAME?,Inf,8,1.222956525,1.258876436,USGS,Hackensack River at New Milford NJ,40.9483333,-74.0266667,300.3,NJ,Non-ref,18.3,sedimentary,sedimentary,"Till, or ground moraine",176.8,0,1,23.4,70.93,14.65,0.83,3.88,0,12.57,61.59075,3.883005,0.13,4.89,10.04,48.46,41.5,59,Northeastern Coastal Zone,12.413
1379530,1279.548571,353.2234286,322.0345714,275.0525714,327.6417143,1115.816411,453.6483265,223.0040771,120.3966845,315.5554502,16.72416744,27.95662891,17.92662595,4.541006171,16.04605705,5.79328025,16.67337513,6.713595126,-4.973221675,4.383001115,39.85714286,195.4857143,328.0857143,28.5989,32,83.96551724,84.13793103,84.62068966,86.24137931,7.931034483,6.75862069,4.965517241,5.275862069,91.93103448,91,89.65517241,91.65517241,364.2413793,338.9655172,24.93103448,0.068256451,0.086206897,0.074270557,0.054928214,0.057346327,625.1724138,53.48218153,167.4137931,-1.357931034,-0.116168136,181.4827586,59,171.1077468,26.81818182,51.60490462,26.5,46.82137286,11.22222222,27.99673347,23.5,51.67729677,476.9265721,61.62068966,165.3103448,285.4137931,7.793103448,192.5435474,255.6551724,154.1724138,188.2931034,7,2.840860433,#NAME?,Inf,2.194444444,1.288411537,0.76062724,USGS,Canoe Brook near Summit NJ,40.74444444,-74.3536111,29.9,NJ,Non-ref,18.5,sedimentary,sedimentary,"Till, or ground moraine",137,0,0,0,70.75,21.45,0.3,1.13,0,13.56,115.3276,3.915744,0.11,1.03,11.92,52.06,36.01,64,Northern Piedmont,11.33202
